Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
236,Keith Jones,1993,1997,5,258,62,65,127,26,454,50,12,0,10,47,18,0,422,14.7,,
237,Ron Jones,1975,1976,2,21,1,1,2,-14,16,0,1,0,0,1,0,0,13,7.7,,
238,Bob Joyce,1990,1991,2,41,8,11,19,5,12,7,1,0,2,9,2,0,60,13.3,,
239,Joe Juneau,1994,1999,6,312,62,172,234,-26,98,30,27,5,9,96,75,1,621,10,1226,19:28
240,Milan Jurcina,2007,2010,4,211,6,30,36,10,136,5,1,0,1,28,2,0,227,2.6,3689,17:29
241,Kevin Kaminski,1994,1997,4,132,3,10,13,-5,483,3,0,0,1,9,1,0,50,6,,
242,Boyd Kane,2006,2010,2,8,0,1,1,0,4,0,0,0,0,1,0,0,3,0,45,5:38
243,Ed Kastelic,1986,1988,3,73,2,1,3,-5,234,1,1,0,0,1,0,0,37,5.4,,
244,Mike Kaszycki,1980,1980,1,28,7,10,17,-5,10,6,1,0,0,7,3,0,34,20.6,,
245,Bob Kelly,1981,1982,2,96,26,40,66,-25,169,18,8,0,4,31,9,0,149,17.4,,
246,Michal Kempny,2018,2020,3,151,11,35,46,44,96,11,0,0,3,35,0,0,216,5.1,2811,18:37
247,Dmitri Khristich,1991,2002,7,419,140,160,300,44,218,89,49,2,20,113,45,2,787,17.8,1494,14:22
248,Orest Kindrachuk,1982,1982,1,4,1,0,1,-3,2,0,1,0,0,0,0,0,8,12.5,,
249,D.J. King,2011,2012,2,17,0,2,2,-3,30,0,0,0,0,2,0,0,7,0,98,5:46
250,Brian Kinsella,1976,1977,2,10,0,1,1,-4,0,0,0,0,0,1,0,0,14,0,,
251,Ken Klee,1995,2003,9,570,43,68,111,13,608,40,2,1,11,58,7,3,701,6.1,6907,19:44
252,Scot Kleinendorst,1989,1990,2,18,1,4,5,4,26,1,0,0,0,4,0,0,13,7.7,,
253,Jakub Klepis,2006,2007,2,66,4,10,14,-13,36,4,0,0,0,6,4,0,64,6.3,594,9:00
254,Mike Knuble,2010,2012,3,220,59,52,111,18,127,45,13,1,6,35,16,1,445,13.3,3581,16:17
255,Steve Konowalchuk,1992,2004,13,693,146,196,342,62,619,110,30,6,23,161,29,6,1238,11.8,5482,17:08
256,John Kordic,1991,1991,1,7,0,0,0,1,101,0,0,0,0,0,0,0,0,,,
257,Ilya Kovalchuk,2020,2020,1,7,1,3,4,0,4,1,0,0,0,3,0,0,18,5.6,103,14:40
258,Viktor Kozlov,2008,2009,2,148,29,66,95,19,34,25,4,0,2,44,22,0,372,7.8,2473,16:43
259,Staffan Kronwall,2009,2009,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,40,13:13
260,Todd Krygier,1992,1998,6,318,49,75,124,-23,306,43,3,3,6,65,9,1,626,7.8,,
261,Dave Kryskow,1975,1975,1,51,9,15,24,-29,83,7,1,1,0,12,3,0,99,9.1,,
262,Frantisek Kucera,2002,2002,1,56,1,13,14,7,12,1,0,0,0,10,2,1,67,1.5,1157,20:39
263,Tomas Kundratek,2012,2013,2,30,1,6,7,-5,10,1,0,0,0,3,3,0,25,4,452,15:05
264,Evgeny Kuznetsov,2014,2021,8,486,122,271,393,61,250,86,34,2,20,191,80,0,1039,11.7,8266,17:01
265,Joel Kwiatkowski,2003,2004,2,114,6,9,15,-27,101,4,2,0,0,8,1,0,118,5.1,2229,19:33
266,Nick Kypreos,1990,1992,3,175,18,19,37,-5,484,18,0,0,5,18,1,0,115,15.7,,
267,Yvon Labre,1975,1981,7,334,12,84,96,-89,756,10,0,2,0,70,14,0,355,3.4,,
268,Pete Laframboise,1975,1975,1,45,5,10,15,-36,22,5,0,0,0,8,2,0,86,5.8,,
269,Brooks Laich,2004,2016,12,742,133,191,324,-8,297,81,42,10,24,138,46,7,1423,9.3,11511,15:31
270,Quintin Laing,2008,2010,3,76,3,7,10,7,31,3,0,0,1,7,0,0,88,3.4,808,10:38
